         1395536 function calls (1390085 primitive calls) in 4.644 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   248400    0.911    0.000    1.580    0.000 libtcodpy.py:1263(console_set_char_background)
   249090    0.903    0.000    3.167    0.000 _internal.py:24(wrapper)
   249160    0.633    0.000    0.634    0.000 {built-in method _warnings.warn}
        1    0.459    0.459    0.459    0.459 {built-in method tcod._libtcod.TCOD_console_init_root_}
       69    0.381    0.006    3.502    0.051 render_functions.py:7(render_all)
   248400    0.369    0.000    0.369    0.000 {built-in method tcod._libtcod.TCOD_console_set_char_background}
   248952    0.300    0.000    0.300    0.000 _internal.py:197(_console)
       69    0.141    0.002    0.141    0.002 {built-in method tcod._libtcod.TCOD_console_flush}
      180    0.027    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      872    0.026    0.000    0.026    0.000 {built-in method nt.stat}
  506/123    0.023    0.000    0.083    0.001 sre_parse.py:475(_parse)
       69    0.018    0.000    0.018    0.000 {built-in method tcod._libtcod.TCOD_console_check_for_keypress_wrapper}
   769/53    0.015    0.000    0.044    0.001 sre_compile.py:71(_compile)
    12036    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
      180    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
    10231    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
9457/8637    0.012    0.000    0.014    0.000 {built-in method builtins.len}
     4379    0.011    0.000    0.017    0.000 sre_parse.py:164(__getitem__)
       69    0.009    0.000    0.009    0.000 {built-in method tcod._libtcod.TCOD_sys_check_for_event}
       15    0.009    0.001    0.012    0.001 {built-in method _imp.create_dynamic}
      429    0.009    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     2112    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     2112    0.008    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     5229    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
     4800    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
     2692    0.007    0.000    0.010    0.000 sre_parse.py:254(get)
      180    0.006    0.000    0.006    0.000 {method 'read' of '_io.FileIO' objects}
     4371    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
  491/488    0.006    0.000    0.019    0.000 {built-in method builtins.__build_class__}
     4591    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
 1034/318    0.005    0.000    0.008    0.000 sre_parse.py:174(getwidth)
  941/161    0.005    0.000    0.216    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     3600    0.005    0.000    0.005    0.000 tile.py:5(__init__)
     3830    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      261    0.005    0.000    0.009    0.000 functools.py:37(update_wrapper)
      256    0.004    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
       69    0.004    0.000    0.004    0.000 {built-in method tcod._libtcod.TCOD_console_blit}
   335/53    0.004    0.000    0.085    0.002 sre_parse.py:417(_parse_sub)
     2807    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     2176    0.004    0.000    0.005    0.000 sre_parse.py:249(match)
      709    0.003    0.000    0.007    0.000 _internal.py:190(__setattr__)
      220    0.003    0.000    0.081    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.003    0.002    0.003    0.002 {built-in method _cffi_backend.load_library}
      360    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1360    0.003    0.000    0.005    0.000 sre_parse.py:160(__len__)
        1    0.003    0.003    0.003    0.003 {method 'dot' of 'numpy.ndarray' objects}
      212    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    225/4    0.003    0.000    0.478    0.120 <frozen importlib._bootstrap>:978(_find_and_load)
      180    0.003    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1285    0.003    0.000    0.005    0.000 sre_parse.py:172(append)
     2266    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      203    0.003    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.003    0.003    0.006    0.006 libtcodpy.py:339(<dictcomp>)
      277    0.003    0.000    0.009    0.000 function_base.py:431(add_newdoc)
      503    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2140    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
        1    0.003    0.003    0.249    0.249 libtcodpy.py:2(<module>)
      840    0.003    0.000    0.010    0.000 libtcodpy.py:418(__setattr__)
     1046    0.003    0.000    0.004    0.000 sre_parse.py:286(tell)
        1    0.002    0.002    0.002    0.002 yacctab.py:4(<module>)
     1833    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      870    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    212/4    0.002    0.000    0.476    0.119 <frozen importlib._bootstrap>:663(_load_unlocked)
     1822    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      695    0.002    0.000    0.004    0.000 typing.py:587(_is_dunder)
      695    0.002    0.000    0.005    0.000 typing.py:701(__setattr__)
     1457    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1549    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
    225/4    0.002    0.000    0.478    0.119 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      360    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      503    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      276    0.002    0.000    0.004    0.000 libtcodpy.py:1219(console_put_char)
       96    0.002    0.000    0.009    0.000 typing.py:600(__init__)
      256    0.002    0.000    0.003    0.000 sre_compile.py:249(_compile_charset)
     1353    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     1353    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
      503    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.002    0.002    4.170    4.170 engine.py:7(main)
    203/1    0.002    0.000    4.648    4.648 {built-in method builtins.exec}
      626    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
        2    0.002    0.001    0.009    0.004 yacc.py:1001(parseopt_notrack)
      626    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
      636    0.002    0.000    0.002    0.000 sre_parse.py:81(groups)
